codigo ccn,codigo cnh,nombre,comunidad autonoma,provincia,municipio,direccion,codigo postal,telefono,naºmero de camas instaladas,tipo de centro,dependencia funcional,observaciones,concierto,acreditacion docente,direccion_completa,latitud,longitud,servicios
141000536,410325,FREMAP_HOSPITAL Y CENTRO DE REHABILITACION DE SEVILLA,AndalucÃ­a,Sevilla,Sevilla,AVENIDA DE JEREZ S/N,41014,954249102,102,Hospitales especializados,MÃºtuas Colaboradoras con La Seguridad Social,,Sin concierto,NO,"FREMAP_HOSPITAL Y CENTRO DE REHABILITACION DE SEVILLA, Sevilla, Sevilla, España",37.1763961,-5.7851107,
141000537,410129,HOSPITAL FÃÂTIMA,AndalucÃ­a,Sevilla,Sevilla,GLORIETA DE MEJICO 1,41012,954613300,73,Hospitales Generales,Privados,,Sin concierto,NO,"HOSPITAL FÃÂTIMA, Sevilla, Sevilla, España",37.1763961,-5.7851107,
141000538,410074,HOSPITAL RECOLETAS SALUD VICTORIA EUGENIA,AndalucÃ­a,Sevilla,Sevilla,AVENIDA DE LA CRUZ ROJA 1,41009,954352082,43,Hospitales Generales,Privados,,Sin concierto,NO,"HOSPITAL RECOLETAS SALUD VICTORIA EUGENIA, Sevilla, Sevilla, España",37.1763961,-5.7851107,
141000539,410107,CLINICA SANTA ISABEL,AndalucÃ­a,Sevilla,Sevilla,CALLE LUIS MONTOTO 100,41018,954919000,96,Hospitales Generales,Privados,,Sin concierto,NO,"CLINICA SANTA ISABEL, Sevilla, Sevilla, España",37.3868655,-5.9755266,
141000540,410251,HOSPITAL LA MERCED,AndalucÃ­a,Sevilla,Osuna,AVENIDA DE LA CONSTITUCION 2,41640,955077200,225,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades AutÃ³nomas,,Sin concierto.,NO,"HOSPITAL LA MERCED, Osuna, Sevilla, España",37.2323824,-5.0957416,
141000541,410021,HOSPITAL UNIVERSITARIO VIRGEN DE VALME,AndalucÃ­a,Sevilla,Sevilla,AVENIDA DE BELLAVISTA S/N,41014,955015160,617,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades AutÃ³nomas,,Sin concierto.,NO,"HOSPITAL UNIVERSITARIO VIRGEN DE VALME, Sevilla, Sevilla, España",37.3196659,-5.9712285,
141000543,410227,HOSPITAL EL TOMILLAR,AndalucÃ­a,Sevilla,AlcalÃ¡ de GuadaÃ­ra,CARRETERA ALCALA-DOS HERMANAS S/N,41500,000000000,80,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades AutÃ³nomas,,Sin concierto.,NO,"HOSPITAL EL TOMILLAR, AlcalÃ¡ de GuadaÃ­ra, Sevilla, España",,,
141000544,410042,HOSPITAL UNIVERSITARIO VIRGEN MACARENA,AndalucÃ­a,Sevilla,Sevilla,AVENIDA DOCTOR FEDRIANI 3,41009,955008000,777,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades AutÃ³nomas,,Sin concierto.,NO,"HOSPITAL UNIVERSITARIO VIRGEN MACARENA, Sevilla, Sevilla, España",37.406758,-5.98685,
141000546,410055,HOSPITAL SAN  LAZARO,AndalucÃ­a,Sevilla,Sevilla,AVENIDA DOCTOR FEDRIANI S/N,41009,955017800,66,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades AutÃ³nomas,,Sin concierto.,NO,"HOSPITAL SAN  LAZARO, Sevilla, Sevilla, España",37.4144896,-5.9821448,
141000547,410016,HOSPITAL UNIVERSITARIO VIRGEN DEL ROCIO,AndalucÃ­a,Sevilla,Sevilla,AVENIDA MANUEL SIUROT S/N,41013,955013466,628,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades AutÃ³nomas,,Sin concierto.,NO,"HOSPITAL UNIVERSITARIO VIRGEN DEL ROCIO, Sevilla, Sevilla, España",37.3629504,-5.9789302,
141000550,410443,HOSPITAL DE REHABILITACION Y TRAUMATOLOGIA DEL H.U.  VIRGEN DEL ROCIO,AndalucÃ­a,Sevilla,Sevilla,AVENIDA MANUEL SIUROT S/N,41013,000000000,295,Hospitales especializados,Servicios e Institutos de Salud de Las Comunidades AutÃ³nomas,,Sin concierto.,NO,"HOSPITAL DE REHABILITACION Y TRAUMATOLOGIA DEL H.U.  VIRGEN DEL ROCIO, Sevilla, Sevilla, España",37.1763961,-5.7851107,
141000551,410465,HOSPITAL INFANTIL,AndalucÃ­a,Sevilla,Sevilla,AVENIDA MANUEL SIUROT S/N,41013,000000000,134,Hospitales especializados,Servicios e Institutos de Salud de Las Comunidades AutÃ³nomas,,Sin concierto.,NO,"HOSPITAL INFANTIL, Sevilla, Sevilla, España",37.3626201,-5.977088,
141000552,410080,HOSPITAL SAN JUAN DE DIOS DE SEVILLA,AndalucÃ­a,Sevilla,Sevilla,AVENIDA EDUARDO DATO 42,41005,954933870,289,Hospitales Generales,Privados,,Sin concierto,NO,"HOSPITAL SAN JUAN DE DIOS DE SEVILLA, Sevilla, Sevilla, España",37.3813881,-5.9691621,
141000553,410191,CLINICA NUESTRA SE?ORA DE ARANZAZU,AndalucÃ­a,Sevilla,Sevilla,CALLE JESUS DEL GRAN PODER 29,41002,954382110,10,Otros Centros con Internamiento,Privados,,Sin concierto,NO,"CLINICA NUESTRA SE?ORA DE ARANZAZU, Sevilla, Sevilla, España",37.1763961,-5.7851107,
141000554,410248,HOSPITAL DE ALTA RESOLUCION DE MORON DE LA FRONTERA,AndalucÃ­a,Sevilla,MorÃ³n de la Frontera,PLAZA SAN FRANCISCO S/N,41530,954851008,12,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades AutÃ³nomas,,Sin concierto.,NO,"HOSPITAL DE ALTA RESOLUCION DE MORON DE LA FRONTERA, MorÃ³n de la Frontera, Sevilla, España",,,
141000555,410353,HOSPITAL SAN JUAN DE DIOS DEL ALJARAFE,AndalucÃ­a,Sevilla,Bormujos,AVENIDA SAN JUAN DE DIOS S/N,41930,955050550,200,Hospitales Generales,Otros Centros o Establecimientos PÃºblicos de Dependencia AutonÃ³mica,,Sin concierto,SI,"HOSPITAL SAN JUAN DE DIOS DEL ALJARAFE, Bormujos, Sevilla, España",37.3733095,-6.083561,
